1.47,0,0
1.76,1,0
2.06,0,0
2.35,1,0
2.65,1,2.94
2.94,0,0
3.24,1,0
3.53,0,0
3.82,1,0
4.12,1,4.41
4.41,0,0
4.71,1,0
5,0,0
5.22,1,0
5.51,1,5.81
5.81,0,0
6.08,1,0
6.32,0,0
6.62,1,0
6.91,1,7.21
7.21,0,0
7.50,1,0
7.79,0,0
8.04,1,0
8.31,1,8.60
8.60,0,0
8.90,1,9.19
9.19,0,0
9.41,1,0
9.71,1,0
10,0,0
10.29,1,0
10.51,0,0
10.81,1,0
11.10,0,0
11.32,1,0
11.62,0,0
11.91,1,0
12.21,0,0
12.45,1,12.75
12.79,0,0
12.94,1,0
13.24,0,0
13.53,1,0
13.82,0,14.41
14.12,1,14.41
14.71,0,0
15,1,0
15.29,1,15.59
15.59,0,0
15.88,1,0
16.18,0,0
16.47,1,0
16.69,1,16.99
16.99,0,0
17.28,1,0
17.57,0,0
17.87,1,0
18.16,1,18.46
18.46,0,0
18.73,1,0
19.02,0,0
19.26,1,0
19.56,1,19.85
19.85,0,0
20.15,1,0
20.44,0,0
20.74,1,0
21.03,1,21.37
21.37,0,0
21.62,1,0
21.91,0,0
22.21,1,0
22.50,1,22.79
22.79,0,0
23.09,1,0
23.38,0,0
23.68,1,0
23.97,1,24.26
